1 2 24 13	46428006
1 2 24 10	50481549
18 2 24 15	52662060
18 2 24 13	60206087
24 7	51804917
1 2 24 15	37806640
2 20 15 4	48540287
2 20 15 7	58719076
1 2 24 20	36394626
2 20 15 0	57126872
6 1 2 27 4	58984977
18 2 24 20	51994252
18 2 24 27 15	60535431
18 2 24 27	51712650
1 25 19	58848618
1 25 15	51349162
1 22 24 27 15	59509812
2 27 10	42919684
2 27 12	44137300
1 2 16 24 20	44771374
2 16 13 27 15	57162719
1 2 5 20	51953902
2 13 15 10	61376177
1 24 27 20 15	54976665
2 12 7	61250093
2 5 19	58536851
2 24 5 15	60373681
18 2 16 4	55337068
2 12 4	52984530
1 18 2 16 27 20	58407828
1 2 16 24 19	54843531
2 22 16 15 4	60808458
2 13 15 19	59128055
1 2 16 24 13	54004383
2 27 19	39808674
2 5 20	48517910
1 2 16 24 12	58550859
2 27 15	29839867
1 2 16 24 15	45919558
2 16 13 27 20	55975339
2 24 5 20	59275478
18 2 25	56351387
2 5 15	50045536
18 2 26	58710302
18 2 24	42930159
2 12 0	60389096
18 2 22 27 20	60728857
2 5 10	60925024
1 24 20 19	55210683
18 2 27	38821251
1 2 16 24 25	61486934
1 24 20 12	58678254
1 24 20 15	46214864
18 2 22	44452073
1 2 16 24 27	44550244
1 24 20 10	57132131
18 2 20	39120420
6 1 13 15	60352293
1 2 22 13 20	56382727
1 2 13 27 4	59426953
18 2 15	40248751
18 2 12	53314127
18 2 13	49137640
18 2 19	50226016
18 2 16	37856308
1 2 22 16 24 20	58209286
1 2 22 16 24 27	58169673
6 1 2 27 20 15	60685240
18 2 10	52183464
6 1 13 27	58977130
1 2 27 25 15	60221169
1 10 12	59110215
6 1 13 20	59219877
2 15 19	41724366
24 13 20 15	60056838
1 10 19	55535665
2 15 10	44401545
2 15 12	45665933
1 2 22 13 27	56548143
16 27 15 4	55041683
1 18 2 16 27 15	59425710
1 2 22 16 24 15	59224266
1 2 16 24 20 4	60711299
1 2 27 25 20	58849663
16 20 15 19	56660824
5 20 15	56645495
16 20 15 10	58058370
16 20 15 12	59434543
7 4	56094917
6 1 2 16 27 15	59884788
2 27 20 15 19	58662752
1 2 16 13 27 15	59813748
2 27 20 15 10	60331925
6 1 2 16 27 20	58176995
22 16 24 27	54235174
1 2 22 13 15	57410239
1 2 20 23	58537281
22 16 24 20	54261811
20 12 19	60817311
1 26 27 20	60296920
1 15 4	42487309
6 2 15 10	61414881
1 15 0	51446927
1 2 16 13 27 20	58747327
1 15 7	53431331
6 2 15 19	59626331
2 13 27 19	57913350
20 7	47948072
20 4	36552016
1 16 27 20 4	56254329
22 21	60227029
22 20	32951787
1 22 15	38824023
22 27 0	59474422
1 22 16	36203487
2 16 27 20 10	57991031
22 16	32300429
22 15	34850378
1 22 10	50989151
2 16 27 20 12	59127239
22 13	44030362
1 22 12	51914951
22 12	48682265
1 22 13	47054325
2 13 27 10	60579180
22 27 7	60992172
2 16 27 20 15	47837046
20 0	46951350
1 22 19	48544827
2 16 27 20 19	56083653
2 13 27 15	50184556
22 27 4	51939320
2 13 27 12	61409501
22 27 5	60505406
22 19	45177686
2 27 23	56264273
6 2 15 4	57830689
1 2 16 24 10	57495767
2 27 20	27531567
1 22 20	36968631
1 22 25	55176262
1 22 26	57665406
1 22 27	37115096
22 27	33142296
22 26	54962404
22 25	51928714
22 24	37171033
22 23	59579126
1 22 24	40872337
2 13 27 20	48889800
27 10 19	59468970
2 27 25	47221357
2 16 5	47978913
2 16 7	47874327
24 13 27 20	59185574
2 16 4	36829497
6 2 20 19	58377530
2 16 0	47317010
6 2 20 15	49812417
6 2 20 12	60933499
